Sales Person,Geography,Product,Date,Amount,Boxes
Gigi Bohling,Canada,50% Dark Bites,1/3/2022,3843,148
Curtice Advani,UK,Almond Choco,1/3/2022,3234,231
Brien Boise,USA,Caramel Stuffed Bars,1/3/2022,756,48
Karlen McCaffrey,Canada,50% Dark Bites,1/3/2022,2961,110
Beverie Moffet,Canada,Eclairs,1/3/2022,12425,2100
Van Tuxwell,UK,Almond Choco,1/3/2022,6139,439
Wilone O'Kielt,India,Raspberry Choco,1/4/2022,3619,173
Andria Kimpton,USA,Caramel Stuffed Bars,1/4/2022,1225,77
Dennison Crosswaite,UK,Mint Chip Choco,1/4/2022,8827,631
Jan Morforth,India,Drinking Coco,1/4/2022,6398,256
Dotty Strutley,Australia,Caramel Stuffed Bars,1/4/2022,588,35
Brien Boise,New Zealand,Manuka Honey Choco,1/4/2022,3948,180
Husein Augar,Canada,Manuka Honey Choco,1/4/2022,6349,289
Oby Sorrel,Canada,Organic Choco Syrup,1/4/2022,4893,223
Marney O'Breen,UK,Manuka Honey Choco,1/4/2022,5320,232
Roddy Speechley,USA,Choco Coated Almonds,1/4/2022,5719,520
Wilone O'Kielt,USA,Smooth Sliky Salty,1/4/2022,6692,840
Madelene Upcott,UK,85% Dark Bars,1/4/2022,16345,840
Jan Morforth,UK,85% Dark Bars,1/4/2022,10290,572
Karlen McCaffrey,Canada,Organic Choco Syrup,1/4/2022,8022,349
Ches Bonnell,UK,50% Dark Bites,1/4/2022,770,31
Curtice Advani,Australia,Smooth Sliky Salty,1/4/2022,3465,495
Gunar Cockshoot,UK,Fruit & Nut Bars,1/4/2022,12327,910
Mallorie Waber,New Zealand,After Nines,1/4/2022,12369,700
Kaine Padly,New Zealand,White Choc,1/4/2022,3696,308
Mallorie Waber,UK,50% Dark Bites,1/4/2022,5397,208
Van Tuxwell,India,Milk Bars,1/4/2022,1449,86
Van Tuxwell,Canada,After Nines,1/4/2022,13013,840
Dennison Crosswaite,USA,Organic Choco Syrup,1/4/2022,6447,281
Oby Sorrel,USA,Caramel Stuffed Bars,1/4/2022,7980,470
Karlen McCaffrey,Canada,Mint Chip Choco,1/4/2022,2485,192
Barr Faughny,India,85% Dark Bars,1/4/2022,7826,435
Barr Faughny,USA,Peanut Butter Cubes,1/4/2022,20097,1050
Gunar Cockshoot,Canada,Organic Choco Syrup,1/4/2022,3857,161
Gunar Cockshoot,Australia,Almond Choco,1/4/2022,168,12
Barr Faughny,New Zealand,Fruit & Nut Bars,1/4/2022,308,21
Dotty Strutley,Canada,Milk Bars,1/4/2022,5964,373
Dotty Strutley,UK,Caramel Stuffed Bars,1/4/2022,1344,84
Andria Kimpton,New Zealand,Raspberry Choco,1/4/2022,2100,96
Beverie Moffet,Australia,85% Dark Bars,1/4/2022,1988,100
Karlen McCaffrey,India,Orange Choco,1/4/2022,3255,181
Van Tuxwell,Australia,70% Dark Bites,1/4/2022,17206,2450
Curtice Advani,New Zealand,Drinking Coco,1/4/2022,602,24
Dennison Crosswaite,UK,Peanut Butter Cubes,1/4/2022,1281,76
Kaine Padly,USA,85% Dark Bars,1/4/2022,1148,64
Brien Boise,New Zealand,Almond Choco,1/4/2022,13636,840
Beverie Moffet,UK,After Nines,1/4/2022,8274,460
Gunar Cockshoot,UK,Peanut Butter Cubes,1/4/2022,3878,229
Roddy Speechley,New Zealand,50% Dark Bites,1/4/2022,17129,635
Kelci Walkden,New Zealand,Choco Coated Almonds,1/4/2022,4781,435
Ches Bonnell,India,Spicy Special Slims,1/4/2022,4550,506
Brien Boise,India,Raspberry Choco,1/4/2022,1449,66
Mallorie Waber,Canada,Caramel Stuffed Bars,1/4/2022,17304,1050
Kelci Walkden,India,Smooth Sliky Salty,1/4/2022,5502,688
Oby Sorrel,USA,99% Dark & Pure,1/4/2022,5145,224
Karlen McCaffrey,USA,Smooth Sliky Salty,1/4/2022,1708,214
Brien Boise,Canada,70% Dark Bites,1/4/2022,8239,1190
Camilla Castle,USA,Organic Choco Syrup,1/4/2022,9583,417
Roddy Speechley,India,Mint Chip Choco,1/5/2022,9387,770
Kelci Walkden,USA,99% Dark & Pure,1/5/2022,5649,246
Andria Kimpton,Canada,Fruit & Nut Bars,1/5/2022,10857,679
Jan Morforth,Canada,Almond Choco,1/5/2022,4802,343
Kelci Walkden,India,Peanut Butter Cubes,1/5/2022,3647,203
Gunar Cockshoot,India,Almond Choco,1/5/2022,2737,172
Brien Boise,UK,50% Dark Bites,1/5/2022,2905,112
Van Tuxwell,India,After Nines,1/5/2022,11641,647
Curtice Advani,USA,Smooth Sliky Salty,1/5/2022,4963,840
Roddy Speechley,USA,Peanut Butter Cubes,1/5/2022,3822,213
Brien Boise,USA,50% Dark Bites,1/5/2022,2240,90
Jan Morforth,USA,Manuka Honey Choco,1/5/2022,14546,633
Barr Faughny,Canada,Smooth Sliky Salty,1/5/2022,3556,593
Roddy Speechley,Canada,Almond Choco,1/5/2022,784,53
Jehu Rudeforth,USA,Mint Chip Choco,1/5/2022,49,4
Camilla Castle,India,Choco Coated Almonds,1/5/2022,2653,266
Camilla Castle,UK,After Nines,1/5/2022,6979,437
Gigi Bohling,India,99% Dark & Pure,1/5/2022,7945,332
Oby Sorrel,India,Eclairs,1/5/2022,9016,1260
Marney O'Breen,Australia,Mint Chip Choco,1/5/2022,6713,560
Van Tuxwell,Canada,Drinking Coco,1/5/2022,7364,273
Wilone O'Kielt,India,Baker's Choco Chips,1/5/2022,5761,251
Jan Morforth,Canada,Caramel Stuffed Bars,1/5/2022,9870,581
Gigi Bohling,Australia,85% Dark Bars,1/5/2022,7231,381
Madelene Upcott,New Zealand,Manuka Honey Choco,1/5/2022,13923,633
Wilone O'Kielt,India,99% Dark & Pure,1/5/2022,7357,307
Van Tuxwell,India,Manuka Honey Choco,1/5/2022,8869,404
Dotty Strutley,India,85% Dark Bars,1/5/2022,17731,910
Madelene Upcott,New Zealand,Orange Choco,1/5/2022,14462,770
Rafaelita Blaksland,New Zealand,Drinking Coco,1/5/2022,1302,53
Beverie Moffet,UK,Spicy Special Slims,1/5/2022,10038,1120
Curtice Advani,Canada,Choco Coated Almonds,1/5/2022,14245,1400
Dennison Crosswaite,USA,Mint Chip Choco,1/5/2022,3311,276
Van Tuxwell,Australia,Almond Choco,1/5/2022,10122,633
Mallorie Waber,India,Peanut Butter Cubes,1/5/2022,6874,382
Wilone O'Kielt,UK,Mint Chip Choco,1/5/2022,17164,1330
Oby Sorrel,Australia,99% Dark & Pure,1/5/2022,1589,73
Andria Kimpton,Australia,99% Dark & Pure,1/5/2022,9142,416
Mallorie Waber,Canada,Raspberry Choco,1/5/2022,3227,154
Jan Morforth,New Zealand,Orange Choco,1/5/2022,3500,175
Gigi Bohling,Canada,Almond Choco,1/5/2022,5222,327
Madelene Upcott,Canada,Peanut Butter Cubes,1/5/2022,7497,417
Jan Morforth,Canada,Mint Chip Choco,1/5/2022,6916,494
Kaine Padly,Canada,Eclairs,1/5/2022,10248,1260
Gunar Cockshoot,Canada,Eclairs,1/5/2022,5040,630
Oby Sorrel,Canada,50% Dark Bites,1/5/2022,2093,78
Jan Morforth,USA,Organic Choco Syrup,1/5/2022,8939,407
Madelene Upcott,India,Organic Choco Syrup,1/5/2022,2177,99
Barr Faughny,Australia,99% Dark & Pure,1/5/2022,10395,473
Andria Kimpton,Canada,85% Dark Bars,1/5/2022,10738,566
Beverie Moffet,UK,Fruit & Nut Bars,1/6/2022,6867,491
Oby Sorrel,USA,Eclairs,1/6/2022,6454,1050
Van Tuxwell,USA,Drinking Coco,1/6/2022,1267,51
Gunar Cockshoot,Australia,Mint Chip Choco,1/6/2022,343,27
Camilla Castle,New Zealand,70% Dark Bites,1/6/2022,1029,147
Jan Morforth,Australia,70% Dark Bites,1/6/2022,3836,480
Rafaelita Blaksland,Australia,White Choc,1/6/2022,4011,365
Gunar Cockshoot,UK,Orange Choco,1/6/2022,4508,251
Andria Kimpton,USA,Peanut Butter Cubes,1/6/2022,6013,354
Marney O'Breen,New Zealand,Drinking Coco,1/6/2022,469,19
Camilla Castle,UK,Fruit & Nut Bars,1/6/2022,5117,342
Jan Morforth,Australia,Peanut Butter Cubes,1/6/2022,3913,218
Dotty Strutley,Australia,Spicy Special Slims,1/6/2022,9289,910
Dotty Strutley,Australia,50% Dark Bites,1/6/2022,4179,155
Oby Sorrel,India,Orange Choco,1/6/2022,1715,86
Gigi Bohling,India,85% Dark Bars,1/6/2022,791,40
Beverie Moffet,India,Milk Bars,1/6/2022,9954,586
Camilla Castle,New Zealand,Milk Bars,1/6/2022,20090,1260
Madelene Upcott,Canada,Fruit & Nut Bars,1/6/2022,651,44
Kelci Walkden,UK,Caramel Stuffed Bars,1/6/2022,5159,323
Kelci Walkden,New Zealand,99% Dark & Pure,1/6/2022,3745,157
Roddy Speechley,India,Drinking Coco,1/6/2022,4102,152
Marney O'Breen,India,Orange Choco,1/6/2022,2177,109
Brien Boise,USA,Baker's Choco Chips,1/6/2022,7182,327
Gunar Cockshoot,India,Fruit & Nut Bars,1/6/2022,1456,98
Roddy Speechley,UK,Peanut Butter Cubes,1/6/2022,6783,357
Beverie Moffet,New Zealand,Orange Choco,1/6/2022,6006,301
Brien Boise,Canada,Manuka Honey Choco,1/6/2022,392,19
Camilla Castle,USA,70% Dark Bites,1/6/2022,1715,245
Brien Boise,Canada,Mint Chip Choco,1/6/2022,13657,1120
Roddy Speechley,Canada,Orange Choco,1/6/2022,5215,275
Gunar Cockshoot,India,Baker's Choco Chips,1/6/2022,4221,176
Marney O'Breen,UK,After Nines,1/6/2022,7112,419
Kaine Padly,Canada,White Choc,1/6/2022,5810,447
Wilone O'Kielt,USA,Orange Choco,1/6/2022,7700,406
Gigi Bohling,India,Manuka Honey Choco,1/6/2022,8652,394
Husein Augar,India,Caramel Stuffed Bars,1/6/2022,12390,770
Camilla Castle,India,85% Dark Bars,1/6/2022,6202,345
Gigi Bohling,India,Raspberry Choco,1/6/2022,6608,331
Mallorie Waber,USA,Spicy Special Slims,1/6/2022,8561,1050
Jan Morforth,UK,Almond Choco,1/6/2022,833,60
Beverie Moffet,UK,Drinking Coco,1/6/2022,10381,385
Andria Kimpton,USA,Drinking Coco,1/6/2022,378,14
Wilone O'Kielt,Australia,White Choc,1/6/2022,301,28
Mallorie Waber,Canada,Peanut Butter Cubes,1/6/2022,4900,258
Kelci Walkden,UK,Orange Choco,1/6/2022,4053,214
Beverie Moffet,USA,85% Dark Bars,1/6/2022,8281,415
Camilla Castle,New Zealand,85% Dark Bars,1/6/2022,2905,153
Andria Kimpton,UK,Peanut Butter Cubes,1/6/2022,13111,691
Mallorie Waber,UK,85% Dark Bars,1/6/2022,4403,232
Jehu Rudeforth,New Zealand,Smooth Sliky Salty,1/6/2022,266,34
Oby Sorrel,Australia,Almond Choco,1/6/2022,875,59
Mallorie Waber,India,Orange Choco,1/6/2022,3381,170
Dennison Crosswaite,Australia,Peanut Butter Cubes,1/6/2022,7588,422
Madelene Upcott,India,Almond Choco,1/6/2022,1092,78
Van Tuxwell,India,Eclairs,1/6/2022,3899,488
Dotty Strutley,India,Manuka Honey Choco,1/6/2022,7812,356
Husein Augar,Australia,Raspberry Choco,1/6/2022,4697,214
Rafaelita Blaksland,India,85% Dark Bars,1/6/2022,7168,378
Jan Morforth,India,Smooth Sliky Salty,1/6/2022,8260,1400
Mallorie Waber,New Zealand,Smooth Sliky Salty,1/6/2022,1827,261
Madelene Upcott,UK,99% Dark & Pure,1/7/2022,15806,659
Mallorie Waber,UK,Almond Choco,1/7/2022,4067,255
Dotty Strutley,India,Baker's Choco Chips,1/7/2022,4088,178
Camilla Castle,UK,Almond Choco,1/7/2022,5467,391
Madelene Upcott,India,Spicy Special Slims,1/7/2022,6790,770
Barr Faughny,USA,Choco Coated Almonds,1/7/2022,2786,279
Wilone O'Kielt,UK,White Choc,1/7/2022,4172,348
Dotty Strutley,India,White Choc,1/7/2022,1897,159
Oby Sorrel,Canada,Smooth Sliky Salty,1/7/2022,2296,383
Camilla Castle,Australia,Caramel Stuffed Bars,1/7/2022,658,39
Oby Sorrel,Canada,Peanut Butter Cubes,1/7/2022,9303,490
Ches Bonnell,Canada,Spicy Special Slims,1/7/2022,11711,1330
Mallorie Waber,India,Milk Bars,1/7/2022,245,15
Andria Kimpton,India,Orange Choco,1/7/2022,9303,466
Gunar Cockshoot,Canada,50% Dark Bites,1/7/2022,3059,118
Ches Bonnell,Canada,Organic Choco Syrup,1/7/2022,9233,402
Karlen McCaffrey,UK,99% Dark & Pure,1/7/2022,3640,159
Barr Faughny,UK,70% Dark Bites,1/10/2022,13328,1890
Rafaelita Blaksland,Australia,After Nines,1/10/2022,3437,191
Gigi Bohling,USA,Orange Choco,1/10/2022,2807,141
Andria Kimpton,India,99% Dark & Pure,1/10/2022,5838,244
Curtice Advani,Australia,85% Dark Bars,1/10/2022,7938,441
Oby Sorrel,USA,Manuka Honey Choco,1/10/2022,1771,85
Mallorie Waber,India,70% Dark Bites,1/10/2022,2457,273
Curtice Advani,Australia,Fruit & Nut Bars,1/10/2022,2919,183
Beverie Moffet,Canada,Orange Choco,1/10/2022,4221,223
Van Tuxwell,New Zealand,Raspberry Choco,1/10/2022,3668,167
Camilla Castle,USA,Almond Choco,1/10/2022,6062,379
Curtice Advani,USA,Caramel Stuffed Bars,1/10/2022,1190,80
Jan Morforth,USA,Smooth Sliky Salty,1/10/2022,2856,476
Dotty Strutley,USA,85% Dark Bars,1/10/2022,6755,356
Beverie Moffet,India,Spicy Special Slims,1/10/2022,15946,1960
Curtice Advani,UK,Manuka Honey Choco,1/10/2022,1568,72
Van Tuxwell,USA,Caramel Stuffed Bars,1/10/2022,9044,603
Oby Sorrel,USA,70% Dark Bites,1/10/2022,16492,2380
Jehu Rudeforth,Canada,Orange Choco,1/10/2022,2198,123
Van Tuxwell,Australia,Orange Choco,1/10/2022,8015,446
Dennison Crosswaite,New Zealand,Raspberry Choco,1/10/2022,1813,83
Marney O'Breen,India,Organic Choco Syrup,1/10/2022,1792,82
Gunar Cockshoot,New Zealand,Milk Bars,1/10/2022,9695,647
Dennison Crosswaite,India,Peanut Butter Cubes,1/10/2022,238,14
Roddy Speechley,UK,Eclairs,1/10/2022,175,30
Karlen McCaffrey,USA,99% Dark & Pure,1/10/2022,6069,264
Madelene Upcott,India,Peanut Butter Cubes,1/10/2022,9310,518
Karlen McCaffrey,Australia,Almond Choco,1/10/2022,15036,910
Dennison Crosswaite,UK,Baker's Choco Chips,1/10/2022,2450,103
Andria Kimpton,India,Smooth Sliky Salty,1/10/2022,3801,634
Mallorie Waber,Australia,Choco Coated Almonds,1/10/2022,3836,349
Gigi Bohling,UK,Drinking Coco,1/10/2022,4256,164
Van Tuxwell,UK,Organic Choco Syrup,1/10/2022,3500,153
Barr Faughny,New Zealand,Peanut Butter Cubes,1/10/2022,11550,642
Kaine Padly,India,70% Dark Bites,1/10/2022,966,138
Brien Boise,New Zealand,White Choc,1/10/2022,9800,910
Brien Boise,Canada,Almond Choco,1/10/2022,2310,154
Brien Boise,India,Caramel Stuffed Bars,1/10/2022,3402,201
Kaine Padly,Australia,Smooth Sliky Salty,1/10/2022,2338,293
Madelene Upcott,India,85% Dark Bars,1/10/2022,11767,654
Wilone O'Kielt,USA,99% Dark & Pure,1/10/2022,2310,101
Jehu Rudeforth,UK,Caramel Stuffed Bars,1/11/2022,2499,147
Kelci Walkden,India,Manuka Honey Choco,1/11/2022,693,31
Wilone O'Kielt,New Zealand,Manuka Honey Choco,1/11/2022,5943,271
Madelene Upcott,New Zealand,Fruit & Nut Bars,1/11/2022,2828,189
Dotty Strutley,Australia,After Nines,1/11/2022,861,51
Roddy Speechley,New Zealand,Raspberry Choco,1/11/2022,833,38
Jehu Rudeforth,India,White Choc,1/11/2022,3255,296
Dennison Crosswaite,UK,50% Dark Bites,1/11/2022,2184,81
Gigi Bohling,Canada,Eclairs,1/11/2022,3360,420
Van Tuxwell,New Zealand,Orange Choco,1/11/2022,3227,170
Curtice Advani,USA,Spicy Special Slims,1/11/2022,8792,910
Husein Augar,Australia,Drinking Coco,1/11/2022,819,31
Barr Faughny,New Zealand,After Nines,1/11/2022,1106,70
Kaine Padly,Canada,50% Dark Bites,1/11/2022,910,37
Marney O'Breen,Australia,Smooth Sliky Salty,1/11/2022,15925,2660
Oby Sorrel,New Zealand,Manuka Honey Choco,1/11/2022,329,15
Husein Augar,UK,Mint Chip Choco,1/11/2022,2905,208
Kelci Walkden,UK,Choco Coated Almonds,1/11/2022,2562,214
Gigi Bohling,Canada,Manuka Honey Choco,1/11/2022,16317,770
Husein Augar,UK,Milk Bars,1/11/2022,1022,61
Marney O'Breen,USA,Peanut Butter Cubes,1/11/2022,10724,565
Camilla Castle,Canada,Caramel Stuffed Bars,1/11/2022,5908,394
Husein Augar,USA,Almond Choco,1/11/2022,7889,494
Karlen McCaffrey,Australia,Eclairs,1/11/2022,8211,1050
Jehu Rudeforth,USA,Almond Choco,1/11/2022,3227,216
Roddy Speechley,UK,White Choc,1/11/2022,2303,192
Van Tuxwell,New Zealand,Milk Bars,1/11/2022,1456,98
Mallorie Waber,USA,Caramel Stuffed Bars,1/11/2022,4487,264
Wilone O'Kielt,Australia,Smooth Sliky Salty,1/11/2022,5467,770
Rafaelita Blaksland,USA,Smooth Sliky Salty,1/11/2022,6083,770
Jehu Rudeforth,UK,Peanut Butter Cubes,1/11/2022,3402,189
Marney O'Breen,India,Mint Chip Choco,1/11/2022,7840,560
Kaine Padly,USA,Eclairs,1/11/2022,7560,1050
Roddy Speechley,Australia,Almond Choco,1/11/2022,4004,286
Madelene Upcott,India,Orange Choco,1/11/2022,2947,164
Andria Kimpton,USA,50% Dark Bites,1/11/2022,1078,40
Roddy Speechley,Canada,White Choc,1/11/2022,11620,1050
Camilla Castle,India,Milk Bars,1/11/2022,6699,419
Brien Boise,UK,Spicy Special Slims,1/11/2022,4984,623
Wilone O'Kielt,Canada,Almond Choco,1/11/2022,1309,82
Madelene Upcott,India,Caramel Stuffed Bars,1/11/2022,8827,589
Kelci Walkden,Australia,70% Dark Bites,1/11/2022,6244,770
Ches Bonnell,USA,White Choc,1/11/2022,8274,770
Karlen McCaffrey,India,Smooth Sliky Salty,1/11/2022,6321,1050
Brien Boise,Australia,Manuka Honey Choco,1/11/2022,8883,423
Kaine Padly,Australia,Peanut Butter Cubes,1/11/2022,6069,357
Ches Bonnell,New Zealand,70% Dark Bites,1/11/2022,4522,646
Van Tuxwell,New Zealand,White Choc,1/11/2022,1890,172
Curtice Advani,Canada,Manuka Honey Choco,1/11/2022,2086,95
Curtice Advani,India,White Choc,1/11/2022,12530,1120
Kaine Padly,India,Drinking Coco,1/11/2022,6237,240
Brien Boise,UK,Raspberry Choco,1/11/2022,1701,81
Camilla Castle,Australia,Smooth Sliky Salty,1/11/2022,476,68
Rafaelita Blaksland,USA,Mint Chip Choco,1/11/2022,11305,910
Kaine Padly,USA,Peanut Butter Cubes,1/11/2022,8666,482
Van Tuxwell,UK,Drinking Coco,1/11/2022,1015,41
Gunar Cockshoot,New Zealand,Drinking Coco,1/11/2022,11991,445
Roddy Speechley,UK,Spicy Special Slims,1/11/2022,3479,435
Wilone O'Kielt,India,Almond Choco,1/12/2022,6909,432
Kaine Padly,India,Eclairs,1/12/2022,3087,441
Ches Bonnell,New Zealand,Almond Choco,1/12/2022,2618,175
Jehu Rudeforth,Canada,Peanut Butter Cubes,1/12/2022,6125,341
Camilla Castle,New Zealand,Drinking Coco,1/12/2022,13797,552
Wilone O'Kielt,Canada,After Nines,1/12/2022,10003,626
Marney O'Breen,Canada,Orange Choco,1/12/2022,9471,499
Ches Bonnell,Australia,85% Dark Bars,1/12/2022,2170,115
Rafaelita Blaksland,UK,50% Dark Bites,1/12/2022,6202,239
Kelci Walkden,Australia,Mint Chip Choco,1/12/2022,10031,770
Rafaelita Blaksland,UK,Milk Bars,1/12/2022,3766,252
Roddy Speechley,Australia,Mint Chip Choco,1/12/2022,105,8
Madelene Upcott,New Zealand,Choco Coated Almonds,1/12/2022,2695,225
Barr Faughny,New Zealand,Manuka Honey Choco,1/12/2022,196,9
Gigi Bohling,New Zealand,Orange Choco,1/12/2022,7287,365
Roddy Speechley,India,50% Dark Bites,1/12/2022,15610,625
Roddy Speechley,New Zealand,Almond Choco,1/12/2022,3192,228
Husein Augar,India,70% Dark Bites,1/12/2022,9107,1120
Husein Augar,Canada,Caramel Stuffed Bars,1/12/2022,9387,587
Barr Faughny,USA,White Choc,1/12/2022,2261,174
Barr Faughny,Australia,Eclairs,1/12/2022,7434,910
Jehu Rudeforth,Canada,Fruit & Nut Bars,1/12/2022,868,62
Ches Bonnell,Australia,After Nines,1/12/2022,5824,364
Kelci Walkden,Australia,50% Dark Bites,1/12/2022,5803,233
Husein Augar,Canada,50% Dark Bites,1/12/2022,3059,114
Camilla Castle,UK,Choco Coated Almonds,1/12/2022,2548,213
Rafaelita Blaksland,UK,Drinking Coco,1/12/2022,8295,308
Wilone O'Kielt,India,Smooth Sliky Salty,1/12/2022,4494,770
Gigi Bohling,UK,Spicy Special Slims,1/12/2022,2051,228
Mallorie Waber,India,85% Dark Bars,1/12/2022,16835,910
Madelene Upcott,New Zealand,Spicy Special Slims,1/12/2022,8274,1050
Wilone O'Kielt,Australia,70% Dark Bites,1/12/2022,5103,700
Oby Sorrel,UK,Raspberry Choco,1/12/2022,140,7
Mallorie Waber,Australia,Fruit & Nut Bars,1/12/2022,238,16
Kaine Padly,USA,Choco Coated Almonds,1/12/2022,11844,980
Dennison Crosswaite,Canada,Choco Coated Almonds,1/12/2022,11648,1050
Mallorie Waber,Canada,50% Dark Bites,1/12/2022,10885,404
Dennison Crosswaite,Canada,Milk Bars,1/12/2022,6447,380
Wilone O'Kielt,India,Manuka Honey Choco,1/12/2022,3577,171
Beverie Moffet,USA,Smooth Sliky Salty,1/12/2022,1722,246
Gigi Bohling,USA,After Nines,1/12/2022,5376,299
Curtice Advani,Australia,Spicy Special Slims,1/12/2022,5166,517
Gunar Cockshoot,UK,Drinking Coco,1/12/2022,5509,205
Brien Boise,USA,99% Dark & Pure,1/12/2022,7350,320
Andria Kimpton,USA,Mint Chip Choco,1/12/2022,5831,449
Mallorie Waber,UK,Peanut Butter Cubes,1/12/2022,5166,304
Rafaelita Blaksland,Australia,Fruit & Nut Bars,1/12/2022,10808,700
Kelci Walkden,New Zealand,Eclairs,1/12/2022,18494,2660
Ches Bonnell,Canada,70% Dark Bites,1/12/2022,4613,659
Kelci Walkden,Canada,Smooth Sliky Salty,1/12/2022,10276,1260
Dennison Crosswaite,Australia,Manuka Honey Choco,1/12/2022,8722,380
Jan Morforth,Canada,Fruit & Nut Bars,1/12/2022,13293,910
Husein Augar,UK,Orange Choco,1/12/2022,6307,351
Camilla Castle,UK,Peanut Butter Cubes,1/12/2022,4074,240
Mallorie Waber,New Zealand,70% Dark Bites,1/12/2022,3612,516
Dotty Strutley,New Zealand,Eclairs,1/12/2022,8526,1400
Brien Boise,Australia,Almond Choco,1/13/2022,3297,220
Barr Faughny,India,Caramel Stuffed Bars,1/13/2022,2072,130
Beverie Moffet,New Zealand,Baker's Choco Chips,1/13/2022,392,18
Karlen McCaffrey,Canada,White Choc,1/13/2022,5439,419
Roddy Speechley,India,Manuka Honey Choco,1/13/2022,2128,93
Madelene Upcott,USA,Raspberry Choco,1/13/2022,5754,288
Van Tuxwell,USA,70% Dark Bites,1/13/2022,4025,575
Camilla Castle,Australia,Baker's Choco Chips,1/13/2022,1960,86
Gunar Cockshoot,India,Raspberry Choco,1/13/2022,4984,250
Gigi Bohling,Canada,Mint Chip Choco,1/13/2022,11235,840
Jehu Rudeforth,New Zealand,70% Dark Bites,1/13/2022,6181,687
Jan Morforth,Australia,Milk Bars,1/13/2022,11277,664
Ches Bonnell,New Zealand,50% Dark Bites,1/13/2022,12320,493
Marney O'Breen,UK,Baker's Choco Chips,1/13/2022,819,36
Husein Augar,UK,After Nines,1/13/2022,4151,231
Beverie Moffet,Australia,Choco Coated Almonds,1/13/2022,7070,700
Husein Augar,New Zealand,85% Dark Bars,1/13/2022,2485,131
Rafaelita Blaksland,USA,Manuka Honey Choco,1/13/2022,2436,111
Jehu Rudeforth,India,Smooth Sliky Salty,1/13/2022,20146,3360
Dennison Crosswaite,Australia,Smooth Sliky Salty,1/13/2022,5873,980
Beverie Moffet,USA,Manuka Honey Choco,1/13/2022,42,2
Husein Augar,USA,Caramel Stuffed Bars,1/13/2022,4599,271
Barr Faughny,Australia,Peanut Butter Cubes,1/13/2022,4172,232
Roddy Speechley,Canada,Raspberry Choco,1/13/2022,784,40
Dotty Strutley,Australia,Organic Choco Syrup,1/13/2022,882,37
Andria Kimpton,UK,Orange Choco,1/13/2022,6748,375
Brien Boise,Australia,50% Dark Bites,1/13/2022,3073,123
Gunar Cockshoot,Canada,Smooth Sliky Salty,1/13/2022,6174,910
Andria Kimpton,Canada,Organic Choco Syrup,1/13/2022,3360,147
Ches Bonnell,Australia,Fruit & Nut Bars,1/13/2022,5845,390
Andria Kimpton,Australia,Drinking Coco,1/13/2022,7735,287
Camilla Castle,UK,Organic Choco Syrup,1/13/2022,10969,458
Andria Kimpton,New Zealand,Caramel Stuffed Bars,1/13/2022,9562,563
Kaine Padly,USA,Baker's Choco Chips,1/13/2022,6020,262
Gigi Bohling,Australia,Manuka Honey Choco,1/13/2022,9667,421
Beverie Moffet,New Zealand,Peanut Butter Cubes,1/13/2022,4130,218
Brien Boise,Canada,Spicy Special Slims,1/13/2022,10220,1120
Dotty Strutley,New Zealand,50% Dark Bites,1/13/2022,16338,629
Curtice Advani,Canada,70% Dark Bites,1/13/2022,8400,1050
Curtice Advani,New Zealand,Spicy Special Slims,1/13/2022,3668,459
Barr Faughny,UK,Orange Choco,1/13/2022,5047,253
Van Tuxwell,USA,99% Dark & Pure,1/13/2022,4732,216
Roddy Speechley,Australia,Fruit & Nut Bars,1/13/2022,7728,552
Camilla Castle,UK,99% Dark & Pure,1/13/2022,6370,266
Gunar Cockshoot,India,Organic Choco Syrup,1/13/2022,3304,151
Mallorie Waber,UK,Organic Choco Syrup,1/13/2022,2107,96
Husein Augar,Australia,85% Dark Bars,1/13/2022,11536,577
Madelene Upcott,India,White Choc,1/14/2022,10164,910
Oby Sorrel,New Zealand,Peanut Butter Cubes,1/14/2022,9275,516
Kelci Walkden,USA,White Choc,1/14/2022,6314,486
Mallorie Waber,India,Choco Coated Almonds,1/14/2022,1547,155
Gunar Cockshoot,India,Caramel Stuffed Bars,1/14/2022,1778,112
Roddy Speechley,Australia,70% Dark Bites,1/14/2022,5264,585
Camilla Castle,UK,Orange Choco,1/14/2022,2765,139
Camilla Castle,Canada,Almond Choco,1/14/2022,1022,64
Camilla Castle,India,Caramel Stuffed Bars,1/14/2022,7882,464
Ches Bonnell,Australia,Raspberry Choco,1/14/2022,18788,910
Husein Augar,India,Peanut Butter Cubes,1/14/2022,1274,75
Dotty Strutley,Canada,Caramel Stuffed Bars,1/14/2022,4088,241
Marney O'Breen,New Zealand,50% Dark Bites,1/14/2022,4816,179
Karlen McCaffrey,Canada,Raspberry Choco,1/14/2022,651,30
Curtice Advani,Australia,Eclairs,1/14/2022,1414,236
Curtice Advani,India,Fruit & Nut Bars,1/14/2022,700,50
Andria Kimpton,India,Baker's Choco Chips,1/14/2022,1932,81
Madelene Upcott,New Zealand,Mint Chip Choco,1/14/2022,3570,255
Van Tuxwell,New Zealand,99% Dark & Pure,1/14/2022,3122,142
Andria Kimpton,USA,Eclairs,1/14/2022,588,74
Madelene Upcott,UK,Caramel Stuffed Bars,1/14/2022,5236,328
Ches Bonnell,Canada,Manuka Honey Choco,1/14/2022,4221,192
Jan Morforth,UK,99% Dark & Pure,1/14/2022,420,20
